paradigm,feat_set,model,f1_macro_mean,f1_macro_sd,bal_acc_mean,acc_mean,n_subjects
LOSO,base-36,SVM,0.7034769343774288,0.0572875384890295,0.7236548317795231,0.7948874539605766,40
LOSO,base-36,RF,0.7119429757912357,0.0803780658202744,0.7166426283345914,0.8095043475431748,40
LOSO,freq-72,SVM,0.7080048834783753,0.0684607708945004,0.7250207461465774,0.7985138745513343,40
LOSO,freq-72,RF,0.7218660673529346,0.0796049007205721,0.7257960532828995,0.8172104972227838,40
LOSO,raw-signal,CNN,0.6815871874241447,0.10285826341829635,0.7059876316558624,0.0,40
SD,base-36,SVM,0.8602526958295391,0.039911844284774234,0.8671977591278551,0.9087233553934034,40
SD,base-36,RF,0.8393470745911884,0.04612096718838812,0.8352604767357533,0.8961297186462772,40
SD,freq-72,SVM,0.8733949177272686,0.0071716568508737,0.8745745779319657,0.9191180594094636,40
SD,freq-72,RF,0.8449942877837584,0.0063302971593485,0.8374666634046548,0.899115711351671,40
SD,raw-signal,CNN,0.9515699999999999,0.037293604318661966,0.95268,0.9680099999999999,40
