condition,model,f1_macro_mean,f1_macro_sd,n_subjects,n_features,method
Full-72,SVM,0.776700141407124,0.0547264767402714,40,72,none
Full-72,RF,0.7732421386023015,0.059893130882271294,40,72,none
RFE-36,SVM,0.7804468224238896,0.06135802538735783,40,36,rfe
RFE-36,RF,0.7597272667369201,0.06937406127481015,40,36,rfe
RFE-27,SVM,0.7746017063198221,0.06301889055670656,40,27,rfe
RFE-27,RF,0.7550036703311369,0.06873686649678099,40,27,rfe
MI-36,SVM,0.7570932928721057,0.056195131955408824,40,36,mi
MI-36,RF,0.7471968852375264,0.06477816429329337,40,36,mi
MI-27,SVM,0.6851222521831819,0.05001842051505419,40,27,mi
MI-27,RF,0.6699731009537797,0.06294504574902517,40,27,mi
