feature_set,n_features,model,subject,f1_macro
Base-36,36,SVM,1,0.9160403764812041
Base-36,36,SVM,2,0.9220391577835398
Base-36,36,SVM,3,0.8782887996982569
Base-36,36,SVM,4,0.8302702747131457
Base-36,36,SVM,5,0.8199073506499214
Base-36,36,SVM,6,0.768408180035557
Base-36,36,SVM,7,0.911556369631578
Base-36,36,SVM,8,0.8557547360794425
Base-36,36,SVM,9,0.8746398025481548
Base-36,36,SVM,10,0.8818396284868295
Base-36,36,SVM,11,0.9059991837464917
Base-36,36,SVM,12,0.8796590629611412
Base-36,36,SVM,13,0.911501905224922
Base-36,36,SVM,14,0.8672505534109975
Base-36,36,SVM,15,0.829228912859602
Base-36,36,SVM,16,0.8870779843802893
Base-36,36,SVM,17,0.8360006161486407
Base-36,36,SVM,18,0.8497635561253757
Base-36,36,SVM,19,0.8528802288435862
Base-36,36,SVM,20,0.789481201547251
Base-36,36,SVM,21,0.8642866074473745
Base-36,36,SVM,22,0.8305520500545642
Base-36,36,SVM,23,0.8833808928980416
Base-36,36,SVM,24,0.8917627190191264
Base-36,36,SVM,25,0.7909998865055046
Base-36,36,SVM,26,0.8380527124935234
Base-36,36,SVM,27,0.8835754278943647
Base-36,36,SVM,28,0.8666322632465454
Base-36,36,SVM,29,0.8455281586153529
Base-36,36,SVM,30,0.8931440230127693
Base-36,36,SVM,31,0.7540863275194519
Base-36,36,SVM,32,0.8602077102378709
Base-36,36,SVM,33,0.8749181671939148
Base-36,36,SVM,34,0.8759068904080247
Base-36,36,SVM,35,0.7983522788670732
Base-36,36,SVM,36,0.860136263725583
Base-36,36,SVM,37,0.8732441257049159
Base-36,36,SVM,38,0.906327079893387
Base-36,36,SVM,39,0.8700718965168097
Base-36,36,SVM,40,0.8813544705714356
Base-36,36,RF,1,0.9156496131869463
Base-36,36,RF,2,0.9024414646552074
Base-36,36,RF,3,0.8108461677209935
Base-36,36,RF,4,0.8312001548370394
Base-36,36,RF,5,0.7594439508312556
Base-36,36,RF,6,0.7798181548680785
Base-36,36,RF,7,0.9148679046809888
Base-36,36,RF,8,0.7772572015857421
Base-36,36,RF,9,0.835294319532571
Base-36,36,RF,10,0.78213592100104
Base-36,36,RF,11,0.9210807111551198
Base-36,36,RF,12,0.7851471793340074
Base-36,36,RF,13,0.8798537935162141
Base-36,36,RF,14,0.8316212625409477
Base-36,36,RF,15,0.8209095625648887
Base-36,36,RF,16,0.8803947750003555
Base-36,36,RF,17,0.8350254244427551
Base-36,36,RF,18,0.8624847528112822
Base-36,36,RF,19,0.8169710366415649
Base-36,36,RF,20,0.7768628419072097
Base-36,36,RF,21,0.8250640739201986
Base-36,36,RF,22,0.8270924963693004
Base-36,36,RF,23,0.880006149548949
Base-36,36,RF,24,0.8805714320427578
Base-36,36,RF,25,0.8268124392507554
Base-36,36,RF,26,0.8182768825342726
Base-36,36,RF,27,0.8660500607781918
Base-36,36,RF,28,0.8443206663209741
Base-36,36,RF,29,0.8018793923153057
Base-36,36,RF,30,0.8654432815054126
Base-36,36,RF,31,0.7410324703745386
Base-36,36,RF,32,0.817954002269609
Base-36,36,RF,33,0.9122604141936217
Base-36,36,RF,34,0.8649135023581509
Base-36,36,RF,35,0.7802067074738548
Base-36,36,RF,36,0.8277520770906126
Base-36,36,RF,37,0.8842975654757151
Base-36,36,RF,38,0.8818568106811273
Base-36,36,RF,39,0.8599601063527931
Base-36,36,RF,40,0.8488262599771923
Extended-54,54,SVM,1,0.878105183641426
Extended-54,54,SVM,2,0.9110003933198084
Extended-54,54,SVM,3,0.8535480532769071
Extended-54,54,SVM,4,0.8054728394699967
Extended-54,54,SVM,5,0.792433218854498
Extended-54,54,SVM,6,0.7552432779839386
Extended-54,54,SVM,7,0.9047021862796605
Extended-54,54,SVM,8,0.8159311816116629
Extended-54,54,SVM,9,0.8397828443193357
Extended-54,54,SVM,10,0.8361547431616856
Extended-54,54,SVM,11,0.907742263200926
Extended-54,54,SVM,12,0.8294976139760415
Extended-54,54,SVM,13,0.8732543806580217
Extended-54,54,SVM,14,0.8355102680224443
Extended-54,54,SVM,15,0.8253634772673291
Extended-54,54,SVM,16,0.8555939304368075
Extended-54,54,SVM,17,0.8429372915660382
Extended-54,54,SVM,18,0.844755045518996
Extended-54,54,SVM,19,0.8291973039215687
Extended-54,54,SVM,20,0.7876956112223409
Extended-54,54,SVM,21,0.8593705671763654
Extended-54,54,SVM,22,0.8117933596847533
Extended-54,54,SVM,23,0.8565337885124132
Extended-54,54,SVM,24,0.8597182331237434
Extended-54,54,SVM,25,0.7830933328814228
Extended-54,54,SVM,26,0.8298637392019745
Extended-54,54,SVM,27,0.8790508472637142
Extended-54,54,SVM,28,0.8520749188432318
Extended-54,54,SVM,29,0.84456712273063
Extended-54,54,SVM,30,0.8716754490679305
Extended-54,54,SVM,31,0.7408626711463072
Extended-54,54,SVM,32,0.8573857075121368
Extended-54,54,SVM,33,0.8676143051466878
Extended-54,54,SVM,34,0.8590550326500488
Extended-54,54,SVM,35,0.790900597711963
Extended-54,54,SVM,36,0.830599829319047
Extended-54,54,SVM,37,0.8713767322770724
Extended-54,54,SVM,38,0.8793306980433323
Extended-54,54,SVM,39,0.8389285238756677
Extended-54,54,SVM,40,0.8792888562666574
Extended-54,54,RF,1,0.9191460998770268
Extended-54,54,RF,2,0.9044952212623383
Extended-54,54,RF,3,0.8130600108491017
Extended-54,54,RF,4,0.8173236296565471
Extended-54,54,RF,5,0.7513549215741068
Extended-54,54,RF,6,0.7705627687479346
Extended-54,54,RF,7,0.9071661553416955
Extended-54,54,RF,8,0.7733742607413436
Extended-54,54,RF,9,0.8193284382536646
Extended-54,54,RF,10,0.7726265681082636
Extended-54,54,RF,11,0.9376497949629503
Extended-54,54,RF,12,0.7691902099251519
Extended-54,54,RF,13,0.8790132127467674
Extended-54,54,RF,14,0.8413005639788856
Extended-54,54,RF,15,0.8291991031100824
Extended-54,54,RF,16,0.8734785803945491
Extended-54,54,RF,17,0.8425877101987834
Extended-54,54,RF,18,0.859839342725884
Extended-54,54,RF,19,0.8180269260667908
Extended-54,54,RF,20,0.7752028520624097
Extended-54,54,RF,21,0.842646943783129
Extended-54,54,RF,22,0.8248485455229783
Extended-54,54,RF,23,0.9028379474438206
Extended-54,54,RF,24,0.8528541647788286
Extended-54,54,RF,25,0.831304896745409
Extended-54,54,RF,26,0.8206570079379537
Extended-54,54,RF,27,0.8754763809063534
Extended-54,54,RF,28,0.8496183120158529
Extended-54,54,RF,29,0.8080000606298947
Extended-54,54,RF,30,0.8649746226142432
Extended-54,54,RF,31,0.7610605934705124
Extended-54,54,RF,32,0.8129692251691181
Extended-54,54,RF,33,0.9164261967708546
Extended-54,54,RF,34,0.8561271979528253
Extended-54,54,RF,35,0.794050443011771
Extended-54,54,RF,36,0.8098023223956454
Extended-54,54,RF,37,0.8748697399792502
Extended-54,54,RF,38,0.8809415333632955
Extended-54,54,RF,39,0.849813668187314
Extended-54,54,RF,40,0.8565501745488572
Freq-72,72,SVM,1,0.913031433780048
Freq-72,72,SVM,2,0.9327253453504843
Freq-72,72,SVM,3,0.9014945145486589
Freq-72,72,SVM,4,0.8446147453500394
Freq-72,72,SVM,5,0.8237307734884567
Freq-72,72,SVM,6,0.8323734609034563
Freq-72,72,SVM,7,0.9167982223303073
Freq-72,72,SVM,8,0.8781662617568752
Freq-72,72,SVM,9,0.8688329281856811
Freq-72,72,SVM,10,0.850950593524666
Freq-72,72,SVM,11,0.9151599548296198
Freq-72,72,SVM,12,0.8660978944490019
Freq-72,72,SVM,13,0.8927956792917379
Freq-72,72,SVM,14,0.8755291545538058
Freq-72,72,SVM,15,0.864724039503387
Freq-72,72,SVM,16,0.8736532680205273
Freq-72,72,SVM,17,0.8510740474438381
Freq-72,72,SVM,18,0.8744552616424704
Freq-72,72,SVM,19,0.8703108073696308
Freq-72,72,SVM,20,0.8323780539585216
Freq-72,72,SVM,21,0.8907517435352093
Freq-72,72,SVM,22,0.8669564728989239
Freq-72,72,SVM,23,0.8930720213426667
Freq-72,72,SVM,24,0.9112443663424872
Freq-72,72,SVM,25,0.8400981789654243
Freq-72,72,SVM,26,0.8564735488815135
Freq-72,72,SVM,27,0.9121252954444189
Freq-72,72,SVM,28,0.8727891695448073
Freq-72,72,SVM,29,0.8784803772260356
Freq-72,72,SVM,30,0.8870169882906251
Freq-72,72,SVM,31,0.7922618450948943
Freq-72,72,SVM,32,0.873456008294301
Freq-72,72,SVM,33,0.9120369281050539
Freq-72,72,SVM,34,0.8839375422029842
Freq-72,72,SVM,35,0.8258239895605346
Freq-72,72,SVM,36,0.8869234253065775
Freq-72,72,SVM,37,0.8715715762783898
Freq-72,72,SVM,38,0.9028473836429491
Freq-72,72,SVM,39,0.8552390267811721
Freq-72,72,SVM,40,0.8682313695808825
Freq-72,72,RF,1,0.9260280509023877
Freq-72,72,RF,2,0.8960021360452541
Freq-72,72,RF,3,0.8324606243829576
Freq-72,72,RF,4,0.8190968277155585
Freq-72,72,RF,5,0.7452224258788358
Freq-72,72,RF,6,0.775041377983781
Freq-72,72,RF,7,0.9268980757115781
Freq-72,72,RF,8,0.7728390744302616
Freq-72,72,RF,9,0.8427783807967242
Freq-72,72,RF,10,0.8107026329108971
Freq-72,72,RF,11,0.9355163713167218
Freq-72,72,RF,12,0.7867138156279161
Freq-72,72,RF,13,0.8832527493157953
Freq-72,72,RF,14,0.8169642879304068
Freq-72,72,RF,15,0.8649240454193587
Freq-72,72,RF,16,0.8753590737468194
Freq-72,72,RF,17,0.8400400158696731
Freq-72,72,RF,18,0.8449912611186225
Freq-72,72,RF,19,0.8338764895929479
Freq-72,72,RF,20,0.7858787860783667
Freq-72,72,RF,21,0.832909873748877
Freq-72,72,RF,22,0.8340954930507168
Freq-72,72,RF,23,0.8817522785630122
Freq-72,72,RF,24,0.869958006918728
Freq-72,72,RF,25,0.8303126569285488
Freq-72,72,RF,26,0.8138034155826614
Freq-72,72,RF,27,0.8877293287075896
Freq-72,72,RF,28,0.8415213006721307
Freq-72,72,RF,29,0.8113853474855206
Freq-72,72,RF,30,0.8838096378807841
Freq-72,72,RF,31,0.7651180808078148
Freq-72,72,RF,32,0.830936374746818
Freq-72,72,RF,33,0.9119033688337291
Freq-72,72,RF,34,0.8444371740543606
Freq-72,72,RF,35,0.8016335955357087
Freq-72,72,RF,36,0.8259414712522573
Freq-72,72,RF,37,0.8880114517589994
Freq-72,72,RF,38,0.8838941026040981
Freq-72,72,RF,39,0.8504232362288924
Freq-72,72,RF,40,0.8894798676070831
Combined-81,81,SVM,1,0.9160936043890597
Combined-81,81,SVM,2,0.9286275958883902
Combined-81,81,SVM,3,0.9027208991362798
Combined-81,81,SVM,4,0.845434882196755
Combined-81,81,SVM,5,0.8259852661254778
Combined-81,81,SVM,6,0.8344353704635166
Combined-81,81,SVM,7,0.9174895870130151
Combined-81,81,SVM,8,0.8519833336029574
Combined-81,81,SVM,9,0.8744469770557899
Combined-81,81,SVM,10,0.870084950636984
Combined-81,81,SVM,11,0.9097992145113255
Combined-81,81,SVM,12,0.8466844997837994
Combined-81,81,SVM,13,0.8954982188637233
Combined-81,81,SVM,14,0.8625982103200343
Combined-81,81,SVM,15,0.8544926208233801
Combined-81,81,SVM,16,0.8849167933400047
Combined-81,81,SVM,17,0.8634499313408306
Combined-81,81,SVM,18,0.8784451430449913
Combined-81,81,SVM,19,0.8697912683373311
Combined-81,81,SVM,20,0.8198472423888976
Combined-81,81,SVM,21,0.8999946281393043
Combined-81,81,SVM,22,0.8480844644009814
Combined-81,81,SVM,23,0.8945705485811388
Combined-81,81,SVM,24,0.90542701782149
Combined-81,81,SVM,25,0.8390270902848509
Combined-81,81,SVM,26,0.8480312318977827
Combined-81,81,SVM,27,0.9104416750970191
Combined-81,81,SVM,28,0.865797422398078
Combined-81,81,SVM,29,0.8816590941274729
Combined-81,81,SVM,30,0.8737177402613385
Combined-81,81,SVM,31,0.7925177389713907
Combined-81,81,SVM,32,0.8811831915208839
Combined-81,81,SVM,33,0.9148655597088533
Combined-81,81,SVM,34,0.8930730050669768
Combined-81,81,SVM,35,0.8246006860354943
Combined-81,81,SVM,36,0.8861402707760487
Combined-81,81,SVM,37,0.870340561949539
Combined-81,81,SVM,38,0.887539925447408
Combined-81,81,SVM,39,0.8561445316966573
Combined-81,81,SVM,40,0.8787398968983835
Combined-81,81,RF,1,0.9245081126272388
Combined-81,81,RF,2,0.9056609059088843
Combined-81,81,RF,3,0.8378375561642097
Combined-81,81,RF,4,0.8231074219981522
Combined-81,81,RF,5,0.7633509477039906
Combined-81,81,RF,6,0.7661778431155118
Combined-81,81,RF,7,0.9257525571878301
Combined-81,81,RF,8,0.7769042633132309
Combined-81,81,RF,9,0.8467977888671423
Combined-81,81,RF,10,0.8141544674406865
Combined-81,81,RF,11,0.9374642424945923
Combined-81,81,RF,12,0.7621082194260198
Combined-81,81,RF,13,0.8842077367366274
Combined-81,81,RF,14,0.8372552544029053
Combined-81,81,RF,15,0.859068580820412
Combined-81,81,RF,16,0.8680206426336091
Combined-81,81,RF,17,0.8404295875030997
Combined-81,81,RF,18,0.8429918760789306
Combined-81,81,RF,19,0.8300246857116053
Combined-81,81,RF,20,0.7913543862162871
Combined-81,81,RF,21,0.8275928944744281
Combined-81,81,RF,22,0.8388024003160302
Combined-81,81,RF,23,0.8981162332690231
Combined-81,81,RF,24,0.8635894857385137
Combined-81,81,RF,25,0.8390101478229082
Combined-81,81,RF,26,0.817240275304546
Combined-81,81,RF,27,0.8737063840651582
Combined-81,81,RF,28,0.8541814852032336
Combined-81,81,RF,29,0.8139046785984945
Combined-81,81,RF,30,0.8963281132844378
Combined-81,81,RF,31,0.7714617672665401
Combined-81,81,RF,32,0.8293423531801166
Combined-81,81,RF,33,0.9183880491886338
Combined-81,81,RF,34,0.8543391289411904
Combined-81,81,RF,35,0.8071334638907961
Combined-81,81,RF,36,0.8245305894515755
Combined-81,81,RF,37,0.8963484409361913
Combined-81,81,RF,38,0.8959662462952751
Combined-81,81,RF,39,0.8735480531981172
Combined-81,81,RF,40,0.881785614959806
