model,feat_A,feat_B,mean_f1_A,mean_f1_B,delta_BminusA,winner,wilcoxon_stat,p_value,significant_p05,significant_p01,significance,n_subjects
SVM,Base-36,Extended-54,0.8602526958295391,0.8421751355036132,-0.01807756032592589,Base-36,14.0,2.000888343900442e-10,True,True,**,40
SVM,Base-36,Freq-72,0.8602526958295391,0.8740058424400265,0.013753146610487432,Freq-72,140.0,0.00014978252875152975,True,True,**,40
SVM,Base-36,Combined-81,0.8602526958295391,0.8726180472585909,0.012365351429051818,Combined-81,168.0,0.0007984068197401939,True,True,**,40
SVM,Extended-54,Freq-72,0.8421751355036132,0.8740058424400265,0.03183070693641332,Freq-72,4.0,1.2732925824820995e-11,True,True,**,40
SVM,Extended-54,Combined-81,0.8421751355036132,0.8726180472585909,0.03044291175497771,Combined-81,3.0,9.094947017729282e-12,True,True,**,40
SVM,Freq-72,Combined-81,0.8740058424400265,0.8726180472585909,-0.0013877951814356138,Freq-72,380.0,0.6948266715426143,False,False,ns,40
RF,Base-36,Extended-54,0.8393470745911884,0.8389939086953045,-0.0003531658958838557,Base-36,394.0,0.8367550107286661,False,False,ns,40
RF,Base-36,Freq-72,0.8393470745911884,0.84484106414358,0.005493989552391554,Freq-72,262.0,0.046610625882749446,True,False,*,40
RF,Base-36,Combined-81,0.8393470745911884,0.8478123220433996,0.008465247452211222,Combined-81,179.0,0.001440798383555375,True,True,**,40
RF,Extended-54,Freq-72,0.8389939086953045,0.84484106414358,0.0058471554482754096,Freq-72,238.0,0.01998793531311094,True,False,*,40
RF,Extended-54,Combined-81,0.8389939086953045,0.8478123220433996,0.008818413348095078,Combined-81,144.0,0.00019334589705977123,True,True,**,40
RF,Freq-72,Combined-81,0.84484106414358,0.8478123220433996,0.002971257899819668,Combined-81,254.0,0.03560432962331106,True,False,*,40
