subject,model,f1_sd,f1_loso,delta_f1
1,CNN,0.9492,0.5966603863209266,0.3525396136790735
2,CNN,0.8882,0.8374400004593266,0.05075999954067334
3,CNN,0.9435,0.8038988599274786,0.13960114007252145
4,CNN,0.9787,0.8123376571882527,0.16636234281174733
5,CNN,0.8616,0.5360809657301543,0.32551903426984574
6,CNN,0.8182,0.7136207592418446,0.10457924075815539
7,CNN,0.9488,0.663144511706513,0.28565548829348697
8,CNN,0.9009,0.693503163011092,0.20739683698890798
9,CNN,0.9155,0.7430547743375353,0.17244522566246467
10,CNN,0.9531,0.7174879805895233,0.2356120194104766
11,CNN,0.944,0.8327332883998884,0.11126671160011159
12,CNN,0.938,0.780054252788084,0.1579457472119159
13,CNN,0.8999,0.8578592138508125,0.04204078614918749
14,CNN,0.9135,0.7489285264293841,0.16457147357061586
15,CNN,0.9389,0.8534829951416749,0.08541700485832504
16,CNN,0.9142,0.82103021606123,0.09316978393877007
17,CNN,0.9141,0.764768023977186,0.149331976022814
18,CNN,0.9086,0.7254461170868682,0.18315388291313173
19,CNN,0.9165,0.8282101218859386,0.08828987811406142
20,CNN,0.7831,0.750970185588269,0.03212981441173102
21,CNN,0.9592,0.7659100885498386,0.1932899114501615
22,CNN,0.896,0.7737151699858243,0.12228483001417567
23,CNN,0.7614,0.7304511159175057,0.0309488840824943
24,CNN,0.9581,0.6649900344753286,0.2931099655246714
25,CNN,0.9092,0.7544858912077033,0.15471410879229675
26,CNN,0.8032,0.6968328128313787,0.10636718716862137
27,CNN,0.9772,0.8352390768446106,0.14196092315538933
28,CNN,0.9362,0.7948198000835596,0.14138019991644046
29,CNN,0.8951,0.7533766769545222,0.14172332304547786
30,CNN,0.9672,0.8003918132467225,0.16680818675327747
31,CNN,0.7771,0.6860149461963938,0.09108505380360621
32,CNN,0.8056,0.7142434952306328,0.09135650476936719
33,CNN,0.9777,0.8902934484527416,0.0874065515472584
34,CNN,0.9639,0.8167870298176544,0.1471129701823456
35,CNN,0.7586,0.6855152317496623,0.07308476825033772
36,CNN,0.8625,0.6135309483986502,0.24896905160134986
37,CNN,0.8648,0.8220949733729096,0.042705026627090414
38,CNN,0.9602,0.7894532873241042,0.1707467126758958
39,CNN,0.9559,0.7473021304607261,0.20859786953927384
40,CNN,0.9546,0.732231711609082,0.22236828839091805
1,RF,0.9310538339244776,0.6026753059144594,0.3283785280100182
2,RF,0.9001177423860326,0.8502282632843694,0.04988947910166319
3,RF,0.8178482875785251,0.7844170805503818,0.033431207028143284
4,RF,0.8272697143151857,0.7922746997349666,0.03499501458021914
5,RF,0.747368895061281,0.6582109311114686,0.08915796394981246
6,RF,0.7714622900623573,0.7145014755448332,0.056960814517524105
7,RF,0.9245526978524528,0.7481762662220409,0.17637643163041183
8,RF,0.7775218395437151,0.7513695213612382,0.026152318182476875
9,RF,0.8371374769568144,0.7752577572551006,0.0618797197017138
10,RF,0.8068004528787925,0.7383121311281183,0.06848832175067421
11,RF,0.9275576978689326,0.8568400332837391,0.07071766458519346
12,RF,0.7801261287662742,0.8149277876966663,-0.03480165893039211
13,RF,0.8792315661622131,0.8939836426295077,-0.014752076467294595
14,RF,0.8189089733477455,0.7711021683080721,0.04780680503967338
15,RF,0.8560443974327219,0.780019128288689,0.07602526914403285
16,RF,0.8735687674725995,0.8355576483872889,0.03801111908531063
17,RF,0.8510696944026592,0.7829022437545126,0.06816745064814667
18,RF,0.8419403506307337,0.7703538754826219,0.07158647514811178
19,RF,0.8245273433557437,0.7798201964221061,0.04470714693363764
20,RF,0.780576695207092,0.6827689585011569,0.09780773670593512
21,RF,0.8311995113696218,0.7942523900240688,0.036947121345553
22,RF,0.8335996591105621,0.7366067642150091,0.09699289489555296
23,RF,0.8845613952537416,0.7305645669132046,0.15399682834053696
24,RF,0.8667073375856091,0.7449661101196623,0.12174122746594684
25,RF,0.8247356910033609,0.779662855593143,0.04507283541021789
26,RF,0.8153596546929854,0.7152486610417648,0.10011099365122067
27,RF,0.8929320314102922,0.827541169893101,0.0653908615171912
28,RF,0.8368571595460006,0.779837012094181,0.0570201474518196
29,RF,0.8131015264336958,0.7418081158937451,0.07129341053995075
30,RF,0.8862264939260498,0.815420191924198,0.07080630200185178
31,RF,0.7569274873385141,0.706385129084563,0.05054235825395115
32,RF,0.8263827969173781,0.7675591337772055,0.05882366314017262
33,RF,0.9119033688337292,0.8483985123769411,0.06350485645678816
34,RF,0.8462373991486183,0.8450584444471654,0.0011789547014529056
35,RF,0.7972261004800074,0.7011606199497994,0.09606548053020803
36,RF,0.8346941321311379,0.7455897454602711,0.08910438667086673
37,RF,0.8822707865432247,0.8694714899812868,0.0127992965619379
38,RF,0.8732624390561537,0.838085497627845,0.03517694142830874
39,RF,0.8451847827167458,0.7523619214748247,0.09282286124192107
40,RF,0.8855921531063882,0.8060080973387425,0.07958405576764571
1,SVM,0.913031433780048,0.6708429792681361,0.24218845451191195
2,SVM,0.9327253453504843,0.8729166904278644,0.05980865492262
3,SVM,0.9014945145486588,0.8123476884987733,0.08914682604988555
4,SVM,0.8446147453500394,0.7809203568641745,0.06369438848586495
5,SVM,0.8237307734884567,0.698487429709867,0.1252433437785897
6,SVM,0.8323734609034563,0.7460078974475345,0.08636556345592183
7,SVM,0.9167982223303072,0.7732346983942175,0.14356352393608962
8,SVM,0.8781662617568752,0.74807780287718,0.13008845887969522
9,SVM,0.8688329281856811,0.7909824919648527,0.07785043622082843
10,SVM,0.850950593524666,0.7102313419474202,0.14071925157724574
11,SVM,0.9151599548296198,0.8682620835916856,0.04689787123793421
12,SVM,0.8660978944490019,0.8270668452343122,0.039031049214689695
13,SVM,0.8927956792917379,0.8935695131978626,-0.0007738339061247324
14,SVM,0.8755291545538058,0.8058885232414644,0.06964063131234133
15,SVM,0.864724039503387,0.834115365692586,0.030608673810801013
16,SVM,0.8736532680205273,0.8171264214191113,0.05652684660141605
17,SVM,0.8510740474438381,0.8099535441017278,0.04112050334211026
18,SVM,0.8744552616424704,0.8119286933746366,0.06252656826783387
19,SVM,0.8703108073696308,0.7493323266051085,0.12097848076452233
20,SVM,0.8323780539585216,0.721121202384184,0.11125685157433762
21,SVM,0.8907517435352093,0.7627346519666744,0.1280170915685348
22,SVM,0.8669564728989239,0.7409953852292037,0.12596108766972014
23,SVM,0.8930720213426667,0.6963617112667909,0.1967103100758758
24,SVM,0.9112443663424872,0.7011497642333242,0.21009460210916298
25,SVM,0.8400981789654243,0.7520582218447945,0.08803995712062973
26,SVM,0.8564735488815135,0.7276029762323566,0.1288705726491569
27,SVM,0.9121252954444188,0.8471334964401774,0.06499179900424135
28,SVM,0.8727891695448073,0.802751648625109,0.07003752091969839
29,SVM,0.8784803772260356,0.8037798587399274,0.07470051848610815
30,SVM,0.8870169882906251,0.8040059719751332,0.0830110163154919
31,SVM,0.7922618450948943,0.7340918274538094,0.05817001764108487
32,SVM,0.873456008294301,0.7357707426793634,0.13768526561493766
33,SVM,0.912036928105054,0.8382067895501709,0.07383013855488307
34,SVM,0.8839375422029842,0.8423175942747149,0.041619947928269285
35,SVM,0.8258239895605346,0.7309437258400238,0.09488026372051084
36,SVM,0.8869234253065775,0.7040875634942992,0.1828358618122783
37,SVM,0.8715715762783898,0.7961891858803415,0.07538239039804828
38,SVM,0.9028473836429493,0.8108652090258592,0.09198217461709002
39,SVM,0.8552390267811721,0.7478608553780732,0.10737817140309891
40,SVM,0.8682313695808825,0.7466845799121155,0.12154678966876709
