stage,stage_label,model,mean_f1,std_f1,ci_low,ci_high,n
Baseline,Baseline,SVM,0.708,0.0685,0.6868,0.7292,40
Norm_persubject,Norm (per-subject),SVM,0.7767,0.0547,0.7597,0.7937,40
FeatSel_Aug_persubject,Feat Sel / Aug (+ per-subject),SVM,0.7804,0.0614,0.7614,0.7995,40
Ensemble_3way,Ensemble (3-way),SVM,0.7917,0.0609,0.7728,0.8106,40
Baseline,Baseline,RF,0.7219,0.0796,0.6972,0.7465,40
Norm_persubject,Norm (per-subject),RF,0.7732,0.0599,0.7547,0.7918,40
FeatSel_Aug_persubject,Feat Sel / Aug (+ per-subject),RF,0.7732,0.0599,0.7547,0.7918,40
Ensemble_3way,Ensemble (3-way),RF,0.7917,0.0609,0.7728,0.8106,40
Baseline,Baseline,CNN,0.6816,0.1029,0.6497,0.7135,40
Norm_persubject,Norm (per-subject),CNN,0.7537,0.0753,0.7304,0.777,40
FeatSel_Aug_persubject,Feat Sel / Aug (+ per-subject),CNN,0.7599,0.0709,0.738,0.7819,40
Ensemble_3way,Ensemble (3-way),CNN,0.7917,0.0609,0.7728,0.8106,40
