subject,acc,bal_acc,f1,train_time_s,latency_ms,returncode
1,0.9609,0.948,0.9492,61.81,0.0439,0
2,0.9192,0.8705,0.8882,32.34,0.0239,0
3,0.9629,0.9431,0.9435,6.35,0.0144,0
4,0.9856,0.9795,0.9787,3.75,0.0089,0
5,0.8814,0.8601,0.8616,2.65,0.0095,0
6,0.8679,0.8189,0.8182,2.3,0.0094,0
7,0.9617,0.9505,0.9488,3.18,0.0091,0
8,0.9303,0.9006,0.9009,3.28,0.0092,0
9,0.9272,0.907,0.9155,3.48,0.0093,0
10,0.9725,0.9522,0.9531,3.31,0.0086,0
11,0.9575,0.9434,0.944,2.09,0.0083,0
12,0.9507,0.9316,0.938,2.79,0.0093,0
13,0.9375,0.8931,0.8999,2.35,0.0105,0
14,0.9406,0.9061,0.9135,4.55,0.0091,0
15,0.9672,0.9387,0.9389,3.05,0.0092,0
16,0.9412,0.9119,0.9142,2.93,0.0086,0
17,0.9431,0.9109,0.9141,2.63,0.0092,0
18,0.9391,0.9062,0.9086,2.73,0.0092,0
19,0.9455,0.9091,0.9165,3.89,0.0089,0
20,0.883,0.7765,0.7831,2.7,0.0091,0
21,0.9753,0.9571,0.9592,3.74,0.0094,0
22,0.9237,0.889,0.896,2.62,0.0081,0
23,0.8211,0.7515,0.7614,1.91,0.0089,0
24,0.9755,0.9552,0.9581,4.29,0.0095,0
25,0.9417,0.9056,0.9092,2.85,0.0103,0
26,0.8746,0.7982,0.8032,2.38,0.01,0
27,0.987,0.9766,0.9772,3.79,0.0098,0
28,0.9543,0.9333,0.9362,3.48,0.0097,0
29,0.9336,0.8929,0.8951,3.69,0.0094,0
30,0.9786,0.971,0.9672,3.23,0.0094,0
31,0.8615,0.7641,0.7771,2.6,0.0084,0
32,0.8849,0.7919,0.8056,2.54,0.01,0
33,0.9856,0.9791,0.9777,2.58,0.0107,0
34,0.9684,0.9693,0.9639,3.14,0.009,0
35,0.8216,0.7606,0.7586,2.16,0.0108,0
36,0.9088,0.863,0.8625,2.95,0.0109,0
37,0.9235,0.8686,0.8648,3.12,0.0091,0
38,0.9762,0.9588,0.9602,3.91,0.0102,0
39,0.9769,0.9545,0.9559,3.95,0.0086,0
40,0.9753,0.955,0.9546,4.02,0.0083,0
