model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode
CNN,1,0.6118793929316482,0.623501075227264,690,X_env,robust
CNN,2,0.7956450386262659,0.7977873253559573,520,X_env,robust
CNN,3,0.7845321031927452,0.773394778877657,594,X_env,robust
CNN,4,0.6601680682713834,0.7011091775816489,556,X_env,robust
CNN,5,0.5311498833050556,0.5664855769016116,708,X_env,robust
CNN,6,0.6843919654745974,0.693350565081645,583,X_env,robust
CNN,7,0.6244107392325052,0.669013988807307,600,X_env,robust
CNN,8,0.5412608569116734,0.5591769664444083,574,X_env,robust
CNN,9,0.6885013060721625,0.7107597074363503,591,X_env,robust
CNN,10,0.3699807032709591,0.46632643672117363,509,X_env,robust
CNN,11,0.7265256461985656,0.7705573342718088,518,X_env,robust
CNN,12,0.7003131643670015,0.6883429070929071,507,X_env,robust
CNN,13,0.72036069741347,0.775823807038387,752,X_env,robust
CNN,14,0.6516348873044506,0.6786327611426201,775,X_env,robust
CNN,15,0.782273239033262,0.7926984806571464,610,X_env,robust
CNN,16,0.7609919716585986,0.7916687479187479,681,X_env,robust
CNN,17,0.7572036852923727,0.7535406328089254,703,X_env,robust
CNN,18,0.6678387826961324,0.6683987524103803,640,X_env,robust
CNN,19,0.761765538266019,0.770614426747089,716,X_env,robust
CNN,20,0.777914654197642,0.7970984895239954,599,X_env,robust
CNN,21,0.6852713691859722,0.7080065978131697,607,X_env,robust
CNN,22,0.5914646939959614,0.6062033472502241,722,X_env,robust
CNN,23,0.6971158980235042,0.724807636184427,704,X_env,robust
CNN,24,0.5364754579683847,0.6217049085138359,653,X_env,robust
CNN,25,0.6208770674772441,0.6759001183725861,616,X_env,robust
CNN,26,0.5447290841691333,0.6161812295599597,789,X_env,robust
CNN,27,0.7953199408251925,0.7980602075606009,694,X_env,robust
CNN,28,0.6517442947195985,0.6516409187345871,700,X_env,robust
CNN,29,0.7436873103147895,0.7490855940412785,736,X_env,robust
CNN,30,0.7351901189838694,0.7412164902766406,654,X_env,robust
CNN,31,0.6177182556935452,0.6485030889098915,758,X_env,robust
CNN,32,0.6946646752246408,0.7149281653314181,686,X_env,robust
CNN,33,0.8073143094514407,0.8251877538674272,692,X_env,robust
CNN,34,0.7635753414802285,0.7611195593622064,632,X_env,robust
CNN,35,0.5877471055132535,0.6154575246451308,852,X_env,robust
CNN,36,0.5871841392516473,0.6156918896807928,734,X_env,robust
CNN,37,0.8938483467582341,0.8890133123555964,680,X_env,robust
CNN,38,0.4713646828379808,0.591978138837558,671,X_env,robust
CNN,39,0.6853647935298898,0.6835786435786436,693,X_env,robust
CNN,40,0.7077329019517578,0.7268050532605138,648,X_env,robust
